Sub-Category,Sales,Order_Date
Phones,699.98,2/15/2015
Accessories,139.95,2/15/2015
Paper,48.94,9/30/2014
Chairs,2807.84,12-01-2014
Art,46.64,12-01-2014
Storage,60.416,12-08-2014
Art,107.94,09-05-2016
Storage,63.84,8/27/2017
Phones,347.97,8/27/2017
Binders,37.008,8/27/2017
Furnishings,215.65,07-07-2016
Fasteners,11.168,08-08-2016
Paper,53.952,08-08-2016
Furnishings,4.18,11/13/2016
Binders,5.607,9/22/2017
Supplies,4663.736,9/22/2017
Accessories,79.984,9/22/2017
Phones,2575.944,12/25/2016
Paper,45.36,12/25/2016
Accessories,254.24,12/25/2016
Phones,69.93,02-11-2016
Furnishings,16.156,10/23/2016
Paper,54.816,10/23/2016
Tables,1441.3,06-09-2014
Furnishings,77.6,11/20/2017
Furnishings,4.656,11/20/2017
Tables,170.136,9/14/2015
Labels,7.38,06-04-2015
Art,9.26,06-04-2015
Labels,9.96,12/13/2015
Appliances,75.6,5/25/2014
Furnishings,29.32,5/25/2014
Appliances,92.064,2/16/2016
Fasteners,6.976,2/16/2016
Chairs,62.958,2/16/2016
Paper,5.184,2/16/2016
Binders,31.32,12/22/2016
Furnishings,11.84,12/22/2016
Furnishings,22.784,12/22/2016
Phones,1127.976,02-08-2016
Paper,38.88,7/13/2015
Phones,779.796,5/18/2014
Phones,1439.92,10/21/2017
Tables,262.11,10/21/2017
Chairs,207.0,11-05-2015
Machines,1439.982,08-01-2017
Paper,36.288,08-01-2017
Art,21.4,6/21/2014
Appliances,1245.86,2/19/2017
Labels,17.544,08-01-2014
Furnishings,44.128,08-01-2014
Appliances,62.92,08-01-2014
Paper,78.304,08-01-2014
Chairs,140.81,7/18/2016
Labels,40.096,02-09-2015
Furnishings,40.784,02-09-2015
Accessories,90.57,7/29/2017
Paper,40.08,01-12-2017
Furnishings,37.68,01-12-2017
Chairs,362.352,09-10-2017
Binders,7.184,09-10-2017
Storage,34.76,7/20/2015
Accessories,831.2,7/20/2015
Paper,26.4,7/20/2015
Envelopes,106.75,7/20/2015
Paper,97.82,7/20/2015
Storage,141.4,7/20/2015
Art,14.52,6/13/2014
Storage,127.92,05-12-2017
Binders,34.24,05-12-2017
Appliances,137.62,09-03-2015
Phones,100.49,09-03-2015
Bookcases,257.568,3/26/2017
Phones,119.96,3/26/2017
Storage,49.632,11-12-2014
Tables,727.45,10/13/2016
Furnishings,24.96,10/13/2016
Phones,370.782,11-12-2017
Furnishings,196.45,4/15/2017
Paper,31.104,6/25/2015
Storage,78.256,6/25/2015
Paper,6.48,8/26/2016
Art,99.2,7/21/2014
Chairs,801.568,7/21/2014
Tables,272.848,7/21/2014
Tables,70.98,11/21/2017
Paper,16.224,06-04-2014
Bookcases,176.784,03-10-2016
Phones,470.376,3/25/2017
Chairs,393.568,12/29/2017
Phones,302.376,12/29/2017
Binders,68.742,3/28/2017
Envelopes,29.34,03-05-2015
Chairs,383.607,03-05-2015
Storage,563.4,03-05-2015
Paper,217.056,11/13/2016
Labels,6.0,1/19/2017
Furnishings,31.56,4/22/2016
Fasteners,7.104,5/13/2014
Binders,398.352,5/13/2014
Appliances,121.792,10/21/2014
Tables,409.59,10/21/2014
Paper,10.56,3/14/2014
Art,3.38,3/14/2014
Envelopes,7.824,12/22/2017
Paper,24.784,11/24/2016
Art,34.65,12-02-2017
Binders,487.984,12/31/2015
Binders,1793.98,10-03-2017
Envelopes,29.808,8/29/2014
Binders,505.176,8/29/2014
Tables,174.0585,8/29/2014
Storage,191.88,6/29/2016
Phones,14.78,8/20/2016
Paper,5.184,10/21/2017
Chairs,478.48,10/21/2017
Accessories,28.4,10/21/2017
Storage,909.12,10/21/2017
Binders,2.952,5/17/2016
Binders,27.018,5/17/2016
Furnishings,136.92,02-03-2015
Furnishings,18.96,12/18/2017
Accessories,99.39,11/15/2016
Paper,273.896,07-03-2017
Machines,597.132,07-03-2017
Accessories,149.95,1/15/2014
Labels,4.608,4/30/2017
Art,15.528,4/30/2017
Labels,11.952,4/30/2017
Art,11.65,11-08-2015
Phones,299.9,10/30/2015
Binders,895.92,8/17/2017
Chairs,462.564,8/17/2017
Storage,15.008,10-03-2015
Phones,863.64,07-08-2016
Art,47.616,07-08-2016
Paper,92.94,12-05-2017
Accessories,199.98,03-09-2017
Phones,177.48,06-09-2016
Paper,88.768,11/28/2017
Paper,6.48,3/16/2017
Storage,46.51,3/16/2017
Phones,659.976,3/16/2017
Phones,271.992,11/27/2016
Bookcases,145.74,08-06-2017
Furnishings,15.4,08-06-2017
Paper,244.55,11/27/2017
Accessories,166.16,11/27/2017
Furnishings,14.73,5/25/2015
Binders,19.968,07-08-2016
Storage,33.488,07-08-2016
Binders,8.736,07-08-2016
Chairs,662.88,07-08-2016
Labels,47.36,8/29/2017
Storage,27.44,8/29/2017
Binders,3.24,8/29/2017
Accessories,95.968,6/20/2016
Paper,10.368,6/20/2016
Art,23.1,09-02-2017
Furnishings,11.54,09-02-2017
Tables,254.526,09-02-2017
Appliances,12.98,09-02-2017
Binders,26.432,09-02-2017
Phones,197.97,09-02-2017
Labels,18.9,09-02-2017
Chairs,1282.41,09-02-2017
Art,4.92,09-02-2017
Accessories,238.0,09-02-2017
Accessories,167.97,09-02-2017
Paper,17.12,09-02-2017
Binders,16.2,09-10-2017
Appliances,33.99,09-10-2017
Accessories,296.85,09-10-2017
Accessories,112.8,09-10-2017
Binders,13.71,09-10-2017
Paper,24.9,09-10-2017
Storage,286.29,09-10-2017
Appliances,24.18,09-10-2017
Phones,281.97,12/21/2017
Supplies,69.5,12/21/2017
Paper,166.44,12/21/2017
Accessories,291.96,9/23/2017
Art,6.408,05-06-2017
Accessories,408.744,05-06-2017
Binders,5.104,12/14/2014
Fasteners,2.896,12/14/2014
Accessories,35.016,12/14/2014
Storage,275.97,10/18/2014
Phones,1394.95,10/18/2014
Chairs,545.88,10/18/2014
Art,5.248,05-08-2015
Chairs,933.536,4/14/2016
Storage,42.976,4/14/2016
Binders,3.76,12/14/2015
Phones,479.96,12-03-2014
Appliances,320.88,11/25/2014
Furnishings,23.88,11/25/2014
Paper,26.76,11/25/2014
Copiers,1439.976,7/25/2016
Binders,17.22,11-09-2015
Tables,1024.38,11-09-2015
Envelopes,26.22,11-09-2015
Paper,17.34,11-09-2015
Binders,4.956,2/24/2017
Labels,71.04,6/25/2017
Art,5.344,6/25/2017
Fasteners,11.304,6/25/2017
Appliances,294.62,12-02-2017
Furnishings,8.752,12-02-2017
Labels,15.0,02-06-2014
Phones,161.61,02-06-2014
Phones,144.95,02-06-2014
Accessories,199.95,04-11-2017
Art,41.86,04-11-2017
Storage,95.94,12/25/2017
Chairs,304.45,12/25/2017
Binders,11.364,04-11-2017
Art,29.68,12/31/2014
Accessories,47.53,12/31/2014
Bookcases,183.372,08-03-2017
Art,4.224,11/15/2014
Appliances,333.056,11/15/2014
Paper,24.896,11/15/2014
Accessories,159.984,12-11-2015
Storage,46.344,12-11-2015
Chairs,350.98,9/18/2016
Paper,13.08,9/18/2016
Storage,900.08,9/18/2016
Binders,17.568,3/19/2015
Labels,14.62,3/19/2015
Supplies,33.36,3/19/2015
Paper,40.14,3/19/2015
Storage,1606.23,9/19/2016
Paper,17.04,9/19/2016
Binders,49.53,9/19/2016
Chairs,872.32,9/19/2016
Binders,239.12,8/20/2017
Bookcases,141.96,3/13/2015
Binders,33.024,09-08-2016
Binders,67.136,09-08-2016
Binders,14.73,11/26/2015
Storage,104.9,11/26/2015
Binders,61.04,11/26/2015
Paper,10.95,11/26/2015
Paper,9.392,12-09-2016
Art,9.328,12-09-2016
Binders,8.26,9/25/2017
Chairs,269.97,9/25/2017
Paper,29.04,1/23/2015
Labels,14.62,1/23/2015
Paper,11.952,6/18/2015
Binders,4.536,6/18/2015
Binders,9.156,6/18/2015
Furnishings,75.36,6/18/2015
Binders,57.504,10-02-2015
Art,38.864,11/18/2017
Paper,15.552,8/17/2014
Appliances,162.64,7/17/2016
Phones,597.0,7/17/2016
Paper,55.48,7/17/2016
Furnishings,289.8,07-11-2015
Binders,2.502,07-11-2015
Binders,6.48,07-11-2015
Chairs,341.488,07-11-2015
Art,11.12,07-11-2015
Furnishings,25.344,07-11-2015
Furnishings,17.31,12-01-2016
Accessories,199.95,12/22/2017
Chairs,1586.69,12/22/2017
Accessories,84.99,12/22/2017
Tables,411.8,12/22/2017
Fasteners,11.34,10/31/2014
Storage,80.3,10/31/2014
Binders,15.968,10/31/2014
Paper,64.74,10/31/2014
Binders,19.296,10/31/2014
Storage,405.64,10/31/2014
Chairs,146.352,10/31/2014
Accessories,251.91,10/31/2014
Art,12.39,10/31/2014
Accessories,199.96,4/13/2015
Tables,710.832,4/13/2015
Binders,1.941,7/21/2016
Chairs,283.92,11/20/2017
Binders,7.312,11/26/2016
Accessories,59.97,11-07-2017
Phones,761.544,11-07-2017
Furnishings,58.2,12-01-2014
Paper,39.9,09-12-2017
Appliances,90.86,09-12-2017
Paper,94.85,09-12-2017
Paper,106.232,12/24/2015
Phones,111.984,12/24/2015
Furnishings,7.712,12/24/2015
Paper,37.44,2/23/2017
Labels,23.68,11/23/2014
Labels,122.12,6/23/2016
Labels,18.45,6/23/2016
Storage,324.9,6/23/2016
Paper,146.73,6/23/2016
Fasteners,3.96,6/23/2016
Labels,5.76,10/26/2015
Binders,26.55,7/15/2017
Tables,310.443,7/15/2017
Chairs,479.9,11/17/2014
Supplies,12.88,4/13/2015
Art,13.12,11/25/2015
Binders,511.84,5/15/2016
Art,91.96,5/15/2016
Art,8.34,5/15/2016
Storage,37.68,09-07-2017
Accessories,279.944,09-07-2017
Storage,636.408,03-10-2014
Art,83.168,03-10-2014
Chairs,259.136,7/18/2014
Paper,221.92,3/24/2017
Accessories,26.0,3/24/2017
Paper,15.552,9/30/2014
Binders,0.876,9/26/2014
Paper,19.98,10/31/2015
Binders,398.352,10/31/2015
Art,5.04,10/31/2015
Fasteners,17.45,10/31/2015
Chairs,323.136,10/31/2015
Supplies,29.7,10/31/2015
Phones,1295.84,10/31/2015
Storage,46.84,10/31/2015
Bookcases,425.833,10/31/2015
Tables,209.67,10-12-2015
Paper,159.88,9/19/2016
Paper,5.28,4/13/2017
Binders,895.92,4/13/2017
Binders,2.808,01-07-2017
Chairs,215.976,11-09-2017
Bookcases,241.96,9/22/2017
Labels,27.72,9/22/2017
Envelopes,104.68,12-01-2017
Phones,62.958,12-01-2017
Accessories,86.376,6/23/2014
Furnishings,64.944,10-04-2015
Paper,20.736,10-04-2015
Appliances,33.28,5/20/2014
Art,38.52,5/20/2014
Furnishings,139.86,5/20/2014
Paper,19.65,11/20/2015
Binders,152.991,11/30/2015
Fasteners,10.584,11/30/2015
Phones,94.92,11/30/2015
Furnishings,14.76,12/31/2015
Binders,3.656,12/31/2015
Paper,146.82,11/16/2017
Binders,149.544,06-06-2014
Supplies,17.14,06-06-2014
Tables,991.764,06-06-2014
Paper,30.48,09-01-2016
Phones,23.988,09-01-2016
Fasteners,16.688,09-01-2016
Chairs,422.058,6/25/2016
Binders,38.088,6/25/2016
Storage,254.352,6/25/2016
Furnishings,43.31,12-12-2014
Phones,84.95,3/31/2017
Chairs,233.058,11/19/2017
Accessories,111.79,11/24/2014
Paper,14.94,11/22/2015
Binders,14.16,7/14/2016
Furnishings,22.608,4/30/2016
Fasteners,21.48,7/25/2016
Storage,501.81,6/22/2014
Storage,161.94,6/22/2014
Art,17.856,10/21/2017
Binders,8.808,09-03-2016
Furnishings,79.384,5/14/2016
Art,34.58,01-07-2016
Paper,314.55,3/13/2017
Accessories,191.976,10/13/2016
Paper,8.288,10/13/2016
Furnishings,139.92,10/13/2016
Art,15.872,10/13/2016
Binders,6.286,10/13/2016
Art,14.016,1/27/2017
Accessories,71.976,1/27/2017
Phones,107.982,1/27/2017
Chairs,305.312,11/19/2017
Binders,19.752,08-01-2014
Binders,9.264,7/30/2016
Storage,61.792,7/30/2015
Paper,45.68,10/15/2016
Paper,60.12,10/15/2016
Binders,41.72,10/15/2016
Paper,71.6,10/15/2016
Binders,85.232,05-07-2016
Labels,44.4,05-07-2016
Chairs,442.764,05-07-2016
Machines,3999.95,05-07-2016
Accessories,199.95,05-07-2016
Furnishings,63.68,05-07-2016
Binders,54.896,08-01-2017
Accessories,29.0,7/14/2016
Envelopes,70.08,08-10-2017
Furnishings,121.3,08-10-2017
Phones,1454.49,08-10-2017
Appliances,60.81,6/25/2016
Binders,153.552,12-10-2016
Appliances,65.34,12-10-2016
Paper,123.92,12-10-2016
Appliances,35.1,12-10-2016
Accessories,44.75,12-10-2016
Art,4.704,12-01-2016
Art,14.67,11/28/2014
Paper,15.552,3/28/2015
Paper,5.232,3/28/2015
Furnishings,22.2,06-01-2014
Phones,881.93,06-01-2014
Binders,6.096,09-06-2015
Furnishings,191.82,09-06-2015
Furnishings,20.104,6/29/2015
Art,67.56,09-10-2016
Binders,29.932,7/14/2014
Phones,38.272,7/14/2014
Art,16.52,8/22/2015
Phones,832.93,11/14/2014
Binders,43.8,11/14/2014
Appliances,167.292,11/27/2016
Furnishings,27.42,11/21/2017
Binders,1.44,10-01-2017
Binders,61.776,10-01-2017
Appliances,241.96,10-01-2017
Chairs,108.608,10-01-2017
Art,2.816,9/20/2014
Binders,9.984,7/28/2017
Storage,14.98,7/28/2017
Phones,1145.6,7/28/2017
Phones,485.94,12-06-2015
Art,37.376,12-06-2015
Chairs,70.686,12-06-2015
Paper,54.816,7/31/2017
Bookcases,72.294,3/19/2016
Fasteners,2.896,7/29/2017
Phones,124.792,7/29/2017
Tables,330.588,10-01-2016
Binders,673.568,3/31/2014
Appliances,52.98,3/31/2014
Furnishings,526.45,6/26/2017
Storage,228.92,07-09-2017
Phones,319.968,12/14/2015
Accessories,205.03,12-05-2017
Storage,190.86,9/15/2015
Art,24.32,9/15/2015
Supplies,44.4,7/15/2016
Furnishings,44.4,4/20/2017
Binders,1016.792,11/15/2016
Binders,38.136,11/15/2016
Phones,494.982,11/26/2016
Storage,56.56,11/21/2017
Art,5.56,11/21/2017
Fasteners,9.02,11/21/2017
Appliances,8.62,11/21/2017
Phones,659.976,11/21/2017
Paper,13.36,2/15/2015
Binders,41.72,2/15/2015
Binders,11.52,2/15/2015
Appliances,541.44,2/15/2015
Paper,19.44,2/15/2015
Paper,143.7,4/15/2016
Appliances,43.26,9/28/2015
Appliances,43.56,9/28/2015
Phones,437.85,9/17/2016
Furnishings,109.48,9/17/2016
Chairs,1212.96,6/16/2017
Paper,18.54,6/16/2017
Fasteners,5.0,11-08-2015
Accessories,371.97,11-08-2015
Accessories,166.24,12/18/2015
Bookcases,359.97,02-06-2017
Accessories,499.98,11/14/2016
Paper,5.28,11/14/2016
Binders,8.26,11/14/2016
Paper,7.968,10-12-2017
Paper,12.96,9/17/2017
Paper,6.48,12/20/2017
Binders,6.984,12/20/2017
Art,47.96,12-02-2017
Storage,199.74,9/21/2015
Furnishings,435.26,03-06-2015
Copiers,1119.984,03-06-2015
Tables,143.432,10-03-2014
Chairs,122.352,10-03-2014
Storage,306.2,6/27/2014
Tables,85.98,6/27/2014
Accessories,223.96,6/27/2014
Chairs,97.568,10/30/2017
Chairs,614.272,10/30/2017
Bookcases,199.98,10/30/2017
Paper,48.16,09-03-2016
Phones,23.92,03-05-2015
Appliances,60.69,03-05-2015
Paper,14.352,05-05-2016
Appliances,35.04,11/17/2017
Appliances,17.48,06-01-2017
Art,16.4,06-10-2017
Tables,892.98,01-08-2017
Phones,287.97,4/20/2015
Furnishings,595.38,4/20/2015
Paper,12.96,4/20/2015
Phones,4.95,11-01-2015
Furnishings,181.95,12/23/2017
Paper,13.52,11-01-2015
Furnishings,259.7,11-01-2015
Phones,42.95,11-01-2015
Accessories,1399.93,11-01-2015
Phones,503.96,11-01-2015
Binders,12.72,11/14/2014
Binders,11.52,11/14/2014
Accessories,316.0,1/17/2016
Chairs,723.92,9/17/2017
Paper,106.32,9/17/2017
Bookcases,141.372,12/23/2016
Paper,27.216,08-06-2015
Accessories,390.75,11-05-2017
Chairs,280.792,06-11-2017
Storage,68.448,06-11-2017
Art,88.04,06-11-2017
Art,15.872,06-11-2017
Storage,215.592,06-11-2017
Labels,14.62,7/20/2017
Appliances,416.32,7/20/2017
Binders,43.0,7/20/2017
Chairs,182.94,7/20/2017
Binders,60.83,7/20/2017
Accessories,389.97,7/20/2017
Appliances,194.32,12/23/2015
Accessories,265.93,3/20/2017
Binders,94.74,12/31/2015
Binders,60.64,12/31/2015
Binders,76.3,12/31/2015
Binders,364.8,12/31/2015
Binders,79.872,9/15/2015
Bookcases,46.384,9/15/2015
Paper,12.96,9/15/2015
Envelopes,14.352,9/23/2017
Furnishings,547.136,12/25/2015
Storage,41.96,9/24/2016
Paper,41.7,9/24/2016
Paper,277.4,3/21/2017
Paper,5.78,3/21/2017
Appliances,69.216,9/30/2014
Envelopes,10.86,12-10-2017
Appliances,426.79,12-10-2017
Paper,25.92,8/23/2014
Paper,45.92,8/23/2014
Art,10.72,8/19/2014
Art,41.86,11-10-2016
Furnishings,63.2,12/31/2014
Accessories,113.97,12/31/2014
Storage,123.552,7/26/2014
Appliances,490.32,2/22/2016
Paper,70.08,3/13/2016
Binders,1.272,3/13/2016
Tables,557.585,3/13/2016
Binders,9.024,12-02-2017
Binders,69.456,12-02-2017
Paper,10.86,12-02-2017
Appliances,79.47,12-02-2017
Art,10.08,12-02-2017
Bookcases,1552.831,8/31/2015
Binders,137.24,8/31/2015
Accessories,36.51,8/31/2015
Machines,239.976,8/31/2015
Tables,1579.746,3/17/2014
Tables,1071.576,3/17/2014
Tables,613.908,3/17/2014
Paper,34.86,3/17/2014
Paper,155.04,3/17/2014
Binders,13.71,4/16/2017
Furnishings,127.88,3/13/2016
Appliances,160.32,3/13/2016
Binders,46.0,3/13/2016
Chairs,120.712,11/24/2014
Paper,23.12,02-10-2017
Furnishings,532.704,9/23/2016
Art,4.912,9/23/2016
Accessories,252.0,07-07-2017
Furnishings,60.288,07-07-2016
Fasteners,2.632,07-07-2016
Paper,23.688,07-07-2016
Chairs,253.372,07-07-2016
Fasteners,5.67,1/24/2017
Binders,76.776,8/19/2014
Supplies,9.184,8/19/2014
Paper,32.75,12-06-2015
Fasteners,7.216,05-06-2016
Paper,49.568,05-06-2016
Furnishings,54.712,05-06-2016
Appliances,176.04,3/25/2017
Art,16.02,3/25/2017
Binders,185.92,3/25/2017
Phones,211.168,3/25/2017
Copiers,479.984,3/25/2017
Fasteners,7.86,12-12-2015
Binders,24.448,12-12-2015
Paper,6.48,12-06-2015
Paper,41.86,12-06-2015
Accessories,1619.91,12-06-2015
Furnishings,113.92,12-06-2015
Art,39.68,3/17/2016
Accessories,37.6,11/14/2015
Accessories,59.9,11/14/2015
Paper,37.0,11/14/2015
Labels,5.76,8/14/2017
Art,16.68,8/14/2017
Storage,628.81,09-09-2017
Storage,56.45,09-09-2017
Storage,94.2,04-01-2017
Envelopes,28.4,04-01-2017
Bookcases,956.6648,9/27/2016
Accessories,1115.91,10-07-2017
Phones,128.744,10-07-2017
Phones,79.92,10-07-2017
Art,24.2,1/20/2017
Phones,359.976,1/20/2017
Furnishings,211.84,3/23/2017
Fasteners,5.68,08-01-2014
Binders,7.52,06-07-2015
Paper,11.96,11-12-2014
Tables,629.064,11-12-2014
Chairs,754.45,12/29/2016
Bookcases,301.96,07-06-2015
Accessories,595.0,10-12-2017
Binders,79.872,10-12-2017
Machines,2396.4,5/21/2016
Storage,63.56,11-09-2017
Accessories,99.99,11-09-2017
Storage,230.376,4/18/2016
Paper,9.664,4/18/2016
Accessories,158.928,12/25/2017
Binders,13.023,12/25/2017
Tables,273.06,12/25/2017
Fasteners,39.312,12/25/2017
Binders,1.344,06-11-2016
Binders,8.272,06-11-2016
Furnishings,12.544,06-11-2016
Labels,58.48,5/13/2017
Furnishings,7.4,12/28/2017
Chairs,366.786,3/25/2014
Phones,54.368,5/28/2017
Envelopes,33.96,11/14/2015
Appliances,826.11,11/14/2015
Furnishings,545.85,07-03-2017
Tables,145.98,11/18/2014
Paper,35.808,11/18/2014
Furnishings,7.904,7/17/2017
Phones,345.0,5/22/2016
Tables,174.286,5/22/2016
Appliances,662.84,5/22/2016
Accessories,95.1,5/22/2016
Envelopes,26.88,5/22/2016
Phones,257.98,5/22/2016
Envelopes,17.48,9/25/2015
Chairs,492.835,10/31/2016
Storage,269.49,9/14/2015
Binders,29.12,11-05-2016
Labels,18.75,3/17/2017
Phones,119.7,3/17/2017
Binders,9.144,3/17/2017
Accessories,57.06,3/17/2017
Accessories,71.6,3/17/2017
Storage,107.44,3/17/2017
Labels,7.31,3/17/2017
Art,59.1,3/17/2017
Storage,46.53,3/17/2017
Appliances,97.84,8/15/2017
Paper,29.97,07-11-2015
Binders,98.352,07-11-2015
Binders,83.92,12-03-2017
Binders,14.624,12-03-2017
Phones,136.99,12-03-2017
Labels,3.15,12-03-2017
Paper,9.11,05-04-2017
Storage,571.44,05-04-2017
Paper,32.4,05-04-2017
Storage,16.91,05-04-2017
Furnishings,14.272,1/22/2016
Bookcases,451.136,1/22/2016
Appliances,64.864,1/22/2016
Chairs,217.584,11-03-2016
Accessories,82.95,11-03-2016
Labels,87.71,11-03-2016
Appliances,1101.48,11-03-2016
Tables,1322.352,09-04-2017
Art,5.46,9/13/2014
Supplies,11.184,6/19/2017
Storage,153.584,6/19/2017
Storage,1003.62,12/24/2017
Phones,35.168,8/28/2017
Tables,1137.75,8/28/2017
Binders,99.68,8/28/2017
Art,5.56,8/28/2017
Storage,85.52,01-02-2015
Art,9.84,01-02-2015
Paper,20.04,01-02-2015
Phones,631.96,10-09-2015
Paper,23.92,10-09-2015
Paper,90.24,12/13/2014
Phones,4548.81,11/19/2014
Tables,300.93,09-10-2016
Phones,719.96,09-10-2016
Chairs,647.84,6/16/2014
Storage,64.17,9/26/2015
Envelopes,124.46,9/26/2015
Binders,9.584,5/19/2016
Envelopes,37.608,6/22/2017
Paper,12.224,6/17/2017
Binders,2.304,6/17/2017
Binders,9.36,6/17/2017
Labels,7.38,11/14/2016
Storage,53.72,7/25/2014
Supplies,8187.65,7/25/2014
Furnishings,77.92,7/25/2014
Appliances,32.784,07-02-2015
Phones,196.776,03-02-2017
Accessories,479.94,03-02-2017
Storage,1117.92,11/18/2016
Accessories,106.5,4/18/2015
Binders,45.66,12-02-2017
Accessories,95.968,11-11-2016
Chairs,47.992,11-11-2016
Storage,264.32,09-05-2014
Envelopes,604.656,11/15/2014
Furnishings,129.93,05-02-2017
Labels,20.16,10/15/2016
Labels,29.46,10/15/2016
Appliances,868.59,10/15/2016
Paper,12.96,10/15/2016
Phones,5.5,10/15/2016
Binders,121.6,10/15/2016
Art,42.048,04-06-2015
Accessories,25.488,04-06-2015
Binders,6.9,04-06-2015
Binders,9.648,04-06-2015
Paper,7.968,04-06-2015
Paper,10.368,10/24/2014
Paper,114.2,8/17/2014
Binders,17.96,8/17/2014
Fasteners,12.67,8/17/2014
Accessories,339.96,8/17/2014
Storage,1801.632,8/15/2017
Accessories,46.32,09-06-2015
Chairs,181.986,1/27/2015
Phones,431.976,1/27/2015
Phones,155.37,1/27/2015
Chairs,1348.704,7/16/2015
Chairs,700.152,7/16/2015
Furnishings,111.888,4/30/2016
Appliances,143.952,9/26/2014
Bookcases,173.94,09-08-2016
Labels,14.76,09-08-2016
Storage,205.92,4/16/2017
Bookcases,102.833,4/16/2017
Art,2.304,8/16/2015
Phones,1879.96,8/16/2015
Paper,313.024,8/16/2015
Labels,5.04,8/16/2015
Furnishings,821.88,11/19/2017
Binders,21.96,11/19/2017
Paper,25.92,9/14/2016
Phones,705.544,8/15/2016
Accessories,50.0,9/26/2015
Furnishings,51.712,10-08-2016
Appliances,6.992,3/24/2015
Bookcases,1406.86,5/31/2015
Labels,15.75,5/31/2015
Storage,323.1,5/31/2015
Labels,9.216,12/25/2015
Paper,10.368,12/25/2015
Accessories,15.02,3/17/2015
Storage,33.82,3/17/2015
Accessories,71.0,12/21/2017
Binders,25.12,11-01-2017
Tables,2665.62,11-01-2017
Storage,478.08,09-07-2017
Phones,164.388,12/27/2017
Art,13.248,12/27/2017
Art,2.912,7/16/2017
Accessories,1399.944,08-12-2016
Furnishings,526.45,07-09-2017
Envelopes,16.23,11/22/2014
Binders,319.9,11/22/2014
Envelopes,11.36,11/22/2014
Appliances,675.12,11/22/2014
Furnishings,62.82,1/26/2014
Storage,489.92,1/26/2014
Paper,19.44,1/26/2014
Paper,16.68,1/26/2014
Phones,155.35,1/26/2014
Furnishings,12.42,1/26/2014
Phones,187.98,1/26/2014
Envelopes,6.608,11-03-2015
Storage,248.57,6/30/2017
Furnishings,22.23,6/30/2017
Storage,5.98,05-05-2016
Phones,246.168,05-05-2016
Furnishings,14.136,09-08-2016
Tables,601.47,09-08-2016
Phones,79.1,11/24/2017
Binders,327.84,11/24/2017
Envelopes,180.96,5/13/2017
Binders,914.97,5/13/2017
Phones,587.97,5/13/2017
Storage,530.34,5/13/2017
Paper,14.94,5/13/2017
Appliances,121.94,4/23/2017
Supplies,122.71,4/23/2017
Paper,14.94,06-04-2016
Machines,1349.85,06-04-2016
Bookcases,136.784,06-04-2016
Furnishings,61.12,06-04-2016
Binders,1.167,12/16/2014
Art,16.99,03-04-2016
Accessories,24.672,11/25/2014
Labels,2.52,11/25/2014
Tables,1218.735,11/25/2014
Labels,5.904,11/25/2014
Paper,15.696,11/25/2014
Furnishings,6.096,11/25/2014
Chairs,41.568,4/28/2016
Chairs,230.28,4/26/2014
Binders,18.288,4/26/2014
Labels,5.78,04-01-2017
Binders,121.68,04-01-2017
Art,4.17,12/22/2017
Phones,67.04,12/22/2017
Storage,37.32,12/22/2017
Labels,18.45,12/22/2017
Paper,25.92,12-03-2014
Copiers,11199.968,10/22/2017
Phones,2399.6,10/22/2017
Envelopes,63.9,10/22/2017
Phones,52.99,10/22/2017
Accessories,60.864,11/13/2017
Machines,652.995,11/13/2017
Binders,11.22,11/13/2017
Paper,14.94,09-10-2015
Furnishings,39.96,5/15/2017
Chairs,42.624,5/15/2017
Chairs,220.96,5/15/2017
Furnishings,4.928,07-05-2015
Binders,7.23,07-05-2015
Storage,323.1,8/15/2015
Paper,19.04,06-12-2017
Binders,13.128,06-12-2017
Art,64.14,06-12-2017
Chairs,858.24,06-12-2017
Accessories,29.99,2/20/2015
Paper,186.048,12/29/2016
Phones,36.792,4/17/2016
Furnishings,18.624,4/17/2016
Furnishings,57.69,09-07-2014
Binders,42.81,09-07-2014
Paper,12.96,09-07-2014
Furnishings,821.88,09-07-2014
Phones,104.85,09-07-2014
Bookcases,424.9575,9/26/2016
Binders,10.776,9/17/2017
Binders,11.784,9/17/2017
Paper,164.88,9/17/2017
Bookcases,1292.94,9/17/2017
Binders,25.584,9/17/2017
Storage,261.74,9/17/2017
Labels,14.4,9/17/2017
Envelopes,10.86,8/16/2016
Chairs,883.84,12/24/2015
Phones,1979.89,11/28/2017
Envelopes,79.96,11/28/2017
Binders,8.76,4/14/2017
Labels,3.984,05-01-2016
Tables,370.62,05-01-2016
Binders,2.742,05-01-2016
Accessories,79.512,10-01-2016
Paper,28.352,10-01-2016
Chairs,40.784,8/25/2015
Appliances,105.96,8/25/2015
Paper,166.44,09-09-2014
Chairs,785.88,09-09-2014
Paper,26.2,09-09-2014
Storage,1325.85,09-09-2014
Paper,166.44,12-03-2017
Art,8.76,11/27/2017
Appliances,43.584,11/27/2017
Binders,11.088,6/21/2014
Binders,25.164,6/21/2014
Binders,14.4,1/21/2017
Accessories,619.95,1/21/2017
Binders,89.52,1/21/2017
Machines,350.973,1/21/2017
Phones,164.99,1/21/2017
Binders,312.552,6/29/2017
Envelopes,95.952,09-06-2016
Binders,3.204,09-06-2016
Binders,3.98,08-04-2016
