Category,Quantity,Order_Date
Office Supplies,5,4/13/2017
Office Supplies,3,01-07-2017
Furniture,3,11-09-2017
Furniture,2,9/22/2017
Office Supplies,9,9/22/2017
Office Supplies,5,12-01-2017
Technology,7,12-01-2017
Technology,3,6/23/2014
Furniture,3,10-04-2015
Office Supplies,4,10-04-2015
Office Supplies,4,5/20/2014
Office Supplies,9,5/20/2014
Furniture,7,5/20/2014
Office Supplies,3,11/20/2015
Office Supplies,3,11/30/2015
Office Supplies,7,11/30/2015
Technology,4,11/30/2015
Furniture,5,12/31/2015
Office Supplies,4,12/31/2015
Office Supplies,3,11/16/2017
Office Supplies,9,06-06-2014
Office Supplies,2,06-06-2014
Furniture,3,06-06-2014
Office Supplies,6,09-01-2016
Technology,2,09-01-2016
Office Supplies,7,09-01-2016
Furniture,3,6/25/2016
Office Supplies,4,6/25/2016
Office Supplies,6,6/25/2016
Furniture,1,12-12-2014
Technology,5,3/31/2017
Furniture,3,11/19/2017
Technology,7,11/24/2014
Office Supplies,3,11/22/2015
Office Supplies,2,7/14/2016
Furniture,3,4/30/2016
Office Supplies,6,7/25/2016
Office Supplies,3,6/22/2014
Office Supplies,3,6/22/2014
Office Supplies,4,10/21/2017
Office Supplies,3,09-03-2016
Furniture,1,5/14/2016
Office Supplies,1,01-07-2016
Office Supplies,3,3/13/2017
Technology,3,10/13/2016
Office Supplies,2,10/13/2016
Furniture,5,10/13/2016
Office Supplies,1,10/13/2016
Office Supplies,7,10/13/2016
Office Supplies,3,1/27/2017
Technology,3,1/27/2017
Technology,3,1/27/2017
Furniture,2,11/19/2017
Office Supplies,3,08-01-2014
Office Supplies,3,7/30/2016
Office Supplies,4,7/30/2015
Office Supplies,2,10/15/2016
Office Supplies,9,10/15/2016
Office Supplies,5,10/15/2016
Office Supplies,8,10/15/2016
Office Supplies,7,05-07-2016
Office Supplies,3,05-07-2016
Furniture,4,05-07-2016
Technology,5,05-07-2016
Technology,5,05-07-2016
Furniture,8,05-07-2016
Office Supplies,2,08-01-2017
Technology,2,7/14/2016
Office Supplies,6,08-10-2017
Furniture,2,08-10-2017
Technology,9,08-10-2017
Office Supplies,3,6/25/2016
Office Supplies,3,12-10-2016
Office Supplies,3,12-10-2016
Office Supplies,4,12-10-2016
Office Supplies,3,12-10-2016
Technology,5,12-10-2016
Office Supplies,2,12-01-2016
Office Supplies,3,11/28/2014
Office Supplies,3,3/28/2015
Office Supplies,1,3/28/2015
Furniture,6,06-01-2014
Technology,7,06-01-2014
Office Supplies,2,09-06-2015
Furniture,3,09-06-2015
Furniture,1,6/29/2015
Office Supplies,3,09-10-2016
Office Supplies,7,7/14/2014
Technology,4,7/14/2014
Office Supplies,4,8/22/2015
Technology,7,11/14/2014
Office Supplies,10,11/14/2014
Office Supplies,6,11/27/2016
Furniture,1,11/21/2017
Office Supplies,1,10-01-2017
Office Supplies,13,10-01-2017
Office Supplies,2,10-01-2017
Furniture,4,10-01-2017
Office Supplies,2,9/20/2014
Office Supplies,4,7/28/2017
Office Supplies,1,7/28/2017
Technology,4,7/28/2017
Technology,2,12-06-2015
Office Supplies,8,12-06-2015
Furniture,1,12-06-2015
Office Supplies,3,7/31/2017
Furniture,1,3/19/2016
Office Supplies,2,7/29/2017
Technology,1,7/29/2017
Furniture,1,10-01-2016
Office Supplies,2,3/31/2014
Office Supplies,2,3/31/2014
Furniture,5,6/26/2017
Office Supplies,5,07-09-2017
Technology,4,12/14/2015
Technology,7,12-05-2017
Office Supplies,2,9/15/2015
Office Supplies,8,9/15/2015
Office Supplies,5,7/15/2016
Furniture,2,4/20/2017
Office Supplies,1,11/15/2016
Office Supplies,7,11/15/2016
Technology,3,11/26/2016
Office Supplies,2,11/21/2017
Office Supplies,2,11/21/2017
Office Supplies,2,11/21/2017
Office Supplies,1,11/21/2017
Technology,3,11/21/2017
Office Supplies,2,2/15/2015
Office Supplies,5,2/15/2015
Office Supplies,5,2/15/2015
Office Supplies,6,2/15/2015
Office Supplies,3,2/15/2015
Office Supplies,3,4/15/2016
Office Supplies,3,9/28/2015
Office Supplies,2,9/28/2015
Technology,3,9/17/2016
Furniture,2,9/17/2016
Furniture,7,6/16/2017
Office Supplies,2,6/16/2017
Office Supplies,1,11-08-2015
Technology,3,11-08-2015
Technology,1,12/18/2015
Furniture,3,02-06-2017
Technology,2,11/14/2016
Office Supplies,1,11/14/2016
Office Supplies,2,11/14/2016
Office Supplies,2,10-12-2017
Office Supplies,2,9/17/2017
Office Supplies,1,12/20/2017
Office Supplies,1,12/20/2017
Office Supplies,5,12-02-2017
Office Supplies,6,9/21/2015
Furniture,7,03-06-2015
Technology,2,03-06-2015
Furniture,1,10-03-2014
Furniture,3,10-03-2014
Office Supplies,5,6/27/2014
Furniture,1,6/27/2014
Technology,4,6/27/2014
Furniture,2,10/30/2017
Furniture,8,10/30/2017
Furniture,2,10/30/2017
Office Supplies,7,09-03-2016
Technology,2,03-05-2015
Office Supplies,7,03-05-2015
Office Supplies,3,05-05-2016
Office Supplies,2,11/17/2017
Office Supplies,5,06-01-2017
Office Supplies,5,06-10-2017
Furniture,2,01-08-2017
Technology,3,4/20/2015
Furniture,6,4/20/2015
Office Supplies,2,4/20/2015
Technology,1,11-01-2015
Furniture,3,12/23/2017
Office Supplies,4,11-01-2015
Furniture,5,11-01-2015
Technology,1,11-01-2015
Technology,7,11-01-2015
Technology,4,11-01-2015
Office Supplies,3,11/14/2014
Office Supplies,4,11/14/2014
Technology,4,1/17/2016
Furniture,4,9/17/2017
Office Supplies,3,9/17/2017
Furniture,2,12/23/2016
Office Supplies,3,08-06-2015
Technology,5,11-05-2017
Furniture,1,06-11-2017
Office Supplies,4,06-11-2017
Office Supplies,5,06-11-2017
Office Supplies,1,06-11-2017
Office Supplies,3,06-11-2017
Office Supplies,2,7/20/2017
Office Supplies,2,7/20/2017
Office Supplies,5,7/20/2017
Furniture,3,7/20/2017
Office Supplies,7,7/20/2017
Technology,3,7/20/2017
Office Supplies,4,12/23/2015
Technology,7,3/20/2017
Office Supplies,3,12/31/2015
Office Supplies,4,12/31/2015
Office Supplies,5,12/31/2015
Office Supplies,12,12/31/2015
Office Supplies,3,9/15/2015
Furniture,1,9/15/2015
Office Supplies,2,9/15/2015
Office Supplies,3,9/23/2017
Furniture,4,12/25/2015
Office Supplies,2,9/24/2016
Office Supplies,5,9/24/2016
Office Supplies,5,3/21/2017
Office Supplies,1,3/21/2017
Office Supplies,6,9/30/2014
Office Supplies,3,12-10-2017
Office Supplies,7,12-10-2017
Office Supplies,4,8/23/2014
Office Supplies,4,8/23/2014
Office Supplies,2,8/19/2014
Office Supplies,7,11-10-2016
Furniture,5,12/31/2014
Technology,3,12/31/2014
Office Supplies,3,7/26/2014
Office Supplies,9,2/22/2016
Office Supplies,5,3/13/2016
Office Supplies,2,3/13/2016
Furniture,5,3/13/2016
Office Supplies,6,12-02-2017
Office Supplies,2,12-02-2017
Office Supplies,2,12-02-2017
Office Supplies,3,12-02-2017
Office Supplies,6,12-02-2017
Furniture,7,8/31/2015
Office Supplies,5,8/31/2015
Technology,1,8/31/2015
Technology,3,8/31/2015
Furniture,7,3/17/2014
Furniture,4,3/17/2014
Furniture,3,3/17/2014
Office Supplies,7,3/17/2014
Office Supplies,4,3/17/2014
Office Supplies,5,4/16/2017
Furniture,2,3/13/2016
Office Supplies,2,3/13/2016
Office Supplies,4,3/13/2016
Furniture,1,11/24/2014
Office Supplies,4,02-10-2017
Furniture,6,9/23/2016
Office Supplies,2,9/23/2016
Technology,4,07-07-2017
Furniture,8,07-07-2016
Office Supplies,1,07-07-2016
Office Supplies,9,07-07-2016
Furniture,2,07-07-2016
Office Supplies,3,1/24/2017
Office Supplies,4,8/19/2014
Office Supplies,2,8/19/2014
Office Supplies,5,12-06-2015
Office Supplies,2,05-06-2016
Office Supplies,2,05-06-2016
Furniture,7,05-06-2016
Office Supplies,4,3/25/2017
Office Supplies,9,3/25/2017
Office Supplies,4,3/25/2017
Technology,4,3/25/2017
Technology,2,3/25/2017
Office Supplies,2,12-12-2015
Office Supplies,2,12-12-2015
Office Supplies,1,12-06-2015
Office Supplies,7,12-06-2015
Technology,9,12-06-2015
Furniture,4,12-06-2015
Office Supplies,2,3/17/2016
Technology,2,11/14/2015
Technology,2,11/14/2015
Office Supplies,5,11/14/2015
Office Supplies,2,8/14/2017
Office Supplies,6,8/14/2017
Office Supplies,7,09-09-2017
Office Supplies,5,09-09-2017
Office Supplies,6,04-01-2017
Office Supplies,5,04-01-2017
Furniture,7,9/27/2016
Technology,9,10-07-2017
Technology,7,10-07-2017
Technology,10,10-07-2017
Office Supplies,5,1/20/2017
Technology,3,1/20/2017
Furniture,8,3/23/2017
Office Supplies,2,08-01-2014
Office Supplies,5,06-07-2015
Office Supplies,2,11-12-2014
Furniture,3,11-12-2014
Furniture,5,12/29/2016
Furniture,2,07-06-2015
Technology,5,10-12-2017
Office Supplies,3,10-12-2017
Technology,10,5/21/2016
Office Supplies,2,11-09-2017
Technology,1,11-09-2017
Office Supplies,3,4/18/2016
Office Supplies,2,4/18/2016
Technology,7,12/25/2017
Office Supplies,1,12/25/2017
Furniture,2,12/25/2017
Office Supplies,13,12/25/2017
Office Supplies,4,06-11-2016
Office Supplies,4,06-11-2016
Furniture,7,06-11-2016
Office Supplies,8,5/13/2017
Furniture,2,12/28/2017
Furniture,7,3/25/2014
Technology,4,5/28/2017
Office Supplies,2,11/14/2015
Office Supplies,3,11/14/2015
Furniture,9,07-03-2017
Furniture,2,11/18/2014
Office Supplies,4,11/18/2014
Furniture,2,7/17/2017
Technology,5,5/22/2016
Furniture,2,5/22/2016
Office Supplies,4,5/22/2016
Technology,5,5/22/2016
Office Supplies,6,5/22/2016
Technology,2,5/22/2016
Office Supplies,2,9/25/2015
Furniture,5,10/31/2016
Office Supplies,3,9/14/2015
Office Supplies,5,11-05-2016
Office Supplies,5,3/17/2017
Technology,6,3/17/2017
Office Supplies,3,3/17/2017
Technology,3,3/17/2017
Technology,8,3/17/2017
Office Supplies,8,3/17/2017
Office Supplies,1,3/17/2017
Office Supplies,6,3/17/2017
Office Supplies,3,3/17/2017
Office Supplies,2,8/15/2017
Office Supplies,3,07-11-2015
Office Supplies,3,07-11-2015
Office Supplies,5,12-03-2017
Office Supplies,2,12-03-2017
Technology,1,12-03-2017
Office Supplies,1,12-03-2017
Office Supplies,1,05-04-2017
Office Supplies,4,05-04-2017
Office Supplies,5,05-04-2017
Office Supplies,1,05-04-2017
Furniture,8,1/22/2016
Furniture,4,1/22/2016
Office Supplies,4,1/22/2016
Furniture,2,11-03-2016
Technology,5,11-03-2016
Office Supplies,7,11-03-2016
Office Supplies,4,11-03-2016
Furniture,3,09-04-2017
Office Supplies,3,9/13/2014
Office Supplies,1,6/19/2017
Office Supplies,2,6/19/2017
Office Supplies,6,12/24/2017
Technology,4,8/28/2017
Furniture,5,8/28/2017
Office Supplies,5,8/28/2017
Office Supplies,2,8/28/2017
Office Supplies,2,01-02-2015
Office Supplies,3,01-02-2015
Office Supplies,3,01-02-2015
Technology,4,10-09-2015
Office Supplies,4,10-09-2015
Office Supplies,6,12/13/2014
Technology,7,11/19/2014
Furniture,5,09-10-2016
Technology,5,09-10-2016
Furniture,8,6/16/2014
Office Supplies,3,9/26/2015
Office Supplies,2,9/26/2015
Office Supplies,1,5/19/2016
Office Supplies,3,6/22/2017
Office Supplies,2,6/17/2017
Office Supplies,4,6/17/2017
Office Supplies,4,6/17/2017
Office Supplies,2,11/14/2016
Office Supplies,4,7/25/2014
Office Supplies,5,7/25/2014
Furniture,8,7/25/2014
Office Supplies,4,07-02-2015
Technology,3,03-02-2017
Technology,6,03-02-2017
Office Supplies,4,11/18/2016
Technology,6,4/18/2015
Office Supplies,5,12-02-2017
Technology,4,11-11-2016
Furniture,2,11-11-2016
Office Supplies,2,09-05-2014
Office Supplies,9,11/15/2014
Furniture,3,05-02-2017
Office Supplies,7,10/15/2016
Office Supplies,6,10/15/2016
Office Supplies,3,10/15/2016
Office Supplies,2,10/15/2016
Technology,1,10/15/2016
Office Supplies,4,10/15/2016
Office Supplies,9,04-06-2015
Technology,2,04-06-2015
Office Supplies,3,04-06-2015
Office Supplies,6,04-06-2015
Office Supplies,2,04-06-2015
Office Supplies,2,10/24/2014
Office Supplies,5,8/17/2014
Office Supplies,4,8/17/2014
Office Supplies,7,8/17/2014
Technology,4,8/17/2014
Office Supplies,6,8/15/2017
Technology,4,09-06-2015
Furniture,2,1/27/2015
Technology,4,1/27/2015
Technology,1,1/27/2015
Furniture,6,7/16/2015
Furniture,3,7/16/2015
Furniture,7,4/30/2016
Office Supplies,3,9/26/2014
Furniture,3,09-08-2016
Office Supplies,4,09-08-2016
Office Supplies,4,4/16/2017
Furniture,1,4/16/2017
Office Supplies,1,8/16/2015
Technology,5,8/16/2015
Office Supplies,8,8/16/2015
Office Supplies,2,8/16/2015
Furniture,6,11/19/2017
Office Supplies,2,11/19/2017
Office Supplies,4,9/14/2016
Technology,7,8/15/2016
Technology,2,9/26/2015
Furniture,8,10-08-2016
Office Supplies,2,3/24/2015
Furniture,7,5/31/2015
Office Supplies,5,5/31/2015
Office Supplies,2,5/31/2015
Office Supplies,4,12/25/2015
Office Supplies,2,12/25/2015
Technology,1,3/17/2015
Office Supplies,2,3/17/2015
Technology,4,12/21/2017
Office Supplies,5,11-01-2017
Furniture,9,11-01-2017
Office Supplies,8,09-07-2017
Technology,2,12/27/2017
Office Supplies,4,12/27/2017
Office Supplies,2,7/16/2017
Technology,7,08-12-2016
Furniture,5,07-09-2017
Office Supplies,3,11/22/2014
Office Supplies,5,11/22/2014
Office Supplies,2,11/22/2014
Office Supplies,3,11/22/2014
Furniture,3,1/26/2014
Office Supplies,8,1/26/2014
Office Supplies,3,1/26/2014
Office Supplies,2,1/26/2014
Technology,13,1/26/2014
Furniture,3,1/26/2014
Technology,2,1/26/2014
Office Supplies,2,11-03-2015
Office Supplies,7,6/30/2017
Furniture,1,6/30/2017
Office Supplies,1,05-05-2016
Technology,3,05-05-2016
Furniture,2,09-08-2016
Furniture,3,09-08-2016
Technology,2,11/24/2017
Office Supplies,8,11/24/2017
Office Supplies,2,5/13/2017
Office Supplies,3,5/13/2017
Technology,3,5/13/2017
Office Supplies,2,5/13/2017
Office Supplies,3,5/13/2017
Office Supplies,2,4/23/2017
Office Supplies,7,4/23/2017
Office Supplies,3,06-04-2016
Technology,3,06-04-2016
Furniture,1,06-04-2016
Furniture,4,06-04-2016
Office Supplies,1,12/16/2014
Office Supplies,1,03-04-2016
Technology,3,11/25/2014
Office Supplies,1,11/25/2014
Furniture,5,11/25/2014
Office Supplies,2,11/25/2014
Office Supplies,3,11/25/2014
Furniture,3,11/25/2014
Furniture,2,4/28/2016
Furniture,3,4/26/2014
Office Supplies,6,4/26/2014
Office Supplies,2,04-01-2017
Office Supplies,13,04-01-2017
Office Supplies,3,12/22/2017
Technology,4,12/22/2017
Office Supplies,3,12/22/2017
Office Supplies,5,12/22/2017
Office Supplies,4,12-03-2014
Technology,4,10/22/2017
Technology,8,10/22/2017
Office Supplies,5,10/22/2017
Technology,1,10/22/2017
Technology,4,11/13/2017
Technology,7,11/13/2017
Office Supplies,10,11/13/2017
Office Supplies,3,09-10-2015
Furniture,2,5/15/2017
Furniture,2,5/15/2017
Furniture,1,5/15/2017
Furniture,2,07-05-2015
Office Supplies,5,07-05-2015
Office Supplies,2,8/15/2015
Office Supplies,4,06-12-2017
Office Supplies,3,06-12-2017
Office Supplies,3,06-12-2017
Furniture,4,06-12-2017
Technology,1,2/20/2015
Office Supplies,6,12/29/2016
Technology,1,4/17/2016
Furniture,8,4/17/2016
Furniture,3,09-07-2014
Office Supplies,3,09-07-2014
Office Supplies,2,09-07-2014
Furniture,6,09-07-2014
Technology,3,09-07-2014
Furniture,5,9/26/2016
Office Supplies,3,9/17/2017
Office Supplies,3,9/17/2017
Office Supplies,3,9/17/2017
Furniture,3,9/17/2017
Office Supplies,2,9/17/2017
Office Supplies,2,9/17/2017
Office Supplies,5,9/17/2017
Office Supplies,3,8/16/2016
Furniture,4,12/24/2015
Technology,11,11/28/2017
Office Supplies,2,11/28/2017
Office Supplies,2,4/14/2017
Office Supplies,1,05-01-2016
Furniture,3,05-01-2016
Office Supplies,2,05-01-2016
Technology,3,10-01-2016
Office Supplies,1,10-01-2016
Furniture,1,8/25/2015
Office Supplies,4,8/25/2015
Office Supplies,3,09-09-2014
Furniture,6,09-09-2014
Office Supplies,2,09-09-2014
Office Supplies,5,09-09-2014
Office Supplies,3,12-03-2017
Office Supplies,5,11/27/2017
Office Supplies,1,11/27/2017
Office Supplies,7,6/21/2014
Office Supplies,2,6/21/2014
Office Supplies,5,1/21/2017
Technology,5,1/21/2017
Office Supplies,4,1/21/2017
Technology,3,1/21/2017
Technology,1,1/21/2017
Office Supplies,9,6/29/2017
Office Supplies,3,09-06-2016
Office Supplies,2,09-06-2016
Office Supplies,5,08-04-2016
Office Supplies,5,11-12-2015
Office Supplies,4,6/30/2014
Office Supplies,3,12-04-2017
Office Supplies,3,8/28/2016
Technology,3,8/28/2016
Furniture,5,1/22/2016
Furniture,1,10/15/2014
Office Supplies,2,02-07-2016
Technology,4,3/18/2014
Technology,6,3/18/2014
Office Supplies,4,3/18/2014
Office Supplies,3,3/18/2014
Furniture,2,3/18/2014
Office Supplies,3,3/18/2014
Furniture,3,3/18/2014
Office Supplies,3,5/24/2014
Technology,6,07-11-2017
Office Supplies,2,6/16/2017
Office Supplies,3,6/16/2017
Office Supplies,4,6/16/2017
Furniture,7,1/30/2015
Technology,3,1/30/2015
Office Supplies,2,12-11-2015
Furniture,4,10-09-2017
Office Supplies,9,7/29/2017
Technology,3,4/25/2014
Office Supplies,5,12-01-2015
Technology,2,12-04-2014
Technology,2,8/26/2017
Technology,3,09-07-2014
Office Supplies,2,12/21/2017
Furniture,3,12-06-2014
Office Supplies,3,11-04-2014
Office Supplies,5,11-04-2014
Office Supplies,5,4/14/2016
Office Supplies,5,10-04-2014
Office Supplies,2,10-04-2014
Technology,5,11-07-2017
Furniture,4,11-07-2017
Office Supplies,1,12/22/2017
Technology,7,12/22/2017
Office Supplies,3,2/13/2017
Technology,4,2/13/2017
Furniture,1,2/13/2017
Technology,2,07-02-2014
Office Supplies,1,07-02-2014
Office Supplies,4,2/21/2015
Technology,3,11/13/2015
Office Supplies,7,11/13/2015
Furniture,3,11/13/2015
Technology,2,11/13/2015
Office Supplies,4,4/16/2017
Technology,2,4/16/2017
Office Supplies,5,2/25/2016
Furniture,2,11-04-2014
Furniture,6,6/20/2015
Technology,3,6/20/2015
Technology,1,08-07-2017
Furniture,3,05-12-2014
Technology,4,11/22/2015
Office Supplies,3,12-04-2015
Furniture,3,06-08-2014
Office Supplies,11,08-08-2014
Furniture,2,5/26/2014
Office Supplies,2,4/17/2015
Technology,3,4/17/2015
Technology,5,4/17/2015
Office Supplies,5,4/17/2015
Office Supplies,2,4/17/2015
Technology,3,06-11-2016
Furniture,4,03-11-2016
Office Supplies,4,03-11-2016
Office Supplies,5,5/26/2014
Technology,1,10-12-2017
Office Supplies,5,10-12-2017
Office Supplies,3,6/22/2017
Office Supplies,5,6/22/2017
Office Supplies,2,6/22/2017
Office Supplies,1,1/15/2017
Office Supplies,8,1/15/2017
Office Supplies,2,04-02-2015
Technology,7,04-02-2015
Technology,3,04-02-2015
Office Supplies,5,09-03-2016
Furniture,3,12-10-2017
Office Supplies,3,11/22/2016
Office Supplies,2,11-11-2017
Office Supplies,3,10/21/2016
Office Supplies,7,12/21/2015
Furniture,2,7/17/2015
Furniture,8,4/30/2017
Technology,3,4/30/2017
Office Supplies,4,05-06-2017
Office Supplies,10,11/20/2017
Technology,2,11-11-2016
Technology,2,11-05-2016
Technology,4,10-09-2016
Furniture,4,9/21/2015
Office Supplies,2,9/21/2015
Furniture,5,12-02-2014
Office Supplies,7,12-02-2014
Furniture,5,12-02-2014
Office Supplies,2,9/21/2014
Office Supplies,3,9/21/2014
Office Supplies,1,9/21/2014
Technology,14,04-12-2014
Technology,4,04-12-2014
Office Supplies,7,04-12-2014
Furniture,3,04-12-2014
Office Supplies,4,10/20/2017
Office Supplies,2,10/20/2017
Office Supplies,5,10/20/2017
Technology,5,10/25/2016
Office Supplies,1,11-01-2015
Furniture,3,11-03-2017
Office Supplies,3,05-12-2015
Office Supplies,6,05-12-2015
Furniture,2,09-07-2015
Office Supplies,2,7/25/2015
Office Supplies,2,7/25/2015
Furniture,5,7/25/2015
Furniture,2,7/25/2015
Office Supplies,9,11/16/2015
Furniture,6,11/16/2015
Furniture,3,11/16/2015
Technology,4,11/16/2015
Furniture,3,11/16/2015
Office Supplies,5,09-01-2015
Furniture,1,09-01-2015
Furniture,2,09-01-2015
Office Supplies,6,09-01-2015
Office Supplies,5,05-05-2016
Furniture,3,05-05-2016
Technology,3,12/31/2016
Office Supplies,2,9/18/2017
Office Supplies,2,9/18/2017
Office Supplies,8,9/25/2014
Furniture,2,9/25/2014
Office Supplies,2,9/25/2014
Office Supplies,2,9/25/2014
Office Supplies,6,4/23/2016
Office Supplies,5,4/23/2016
Office Supplies,2,4/23/2016
Office Supplies,5,11-01-2014
Technology,3,11-01-2014
Office Supplies,7,1/26/2017
Office Supplies,2,1/26/2017
Office Supplies,1,11-11-2017
Office Supplies,3,11-11-2017
Office Supplies,5,11-11-2017
Technology,2,06-09-2016
Office Supplies,1,09-03-2015
Furniture,4,3/14/2014
Office Supplies,7,8/31/2017
Office Supplies,2,3/23/2017
Technology,3,5/18/2017
Furniture,8,12/27/2016
Office Supplies,3,11/17/2017
Office Supplies,3,09-10-2017
Furniture,6,04-08-2017
Office Supplies,3,04-08-2017
Office Supplies,6,11/28/2016
Office Supplies,1,06-02-2016
Office Supplies,4,12/17/2017
Furniture,1,3/19/2016
Furniture,4,3/19/2016
Office Supplies,3,8/20/2017
Office Supplies,7,7/25/2017
Furniture,4,8/26/2016
Furniture,2,8/15/2016
Technology,4,5/19/2017
Technology,3,5/19/2017
Furniture,9,5/19/2017
Office Supplies,7,5/19/2017
Office Supplies,4,08-12-2017
Office Supplies,3,8/13/2017
Office Supplies,7,8/13/2017
Office Supplies,3,8/13/2017
Office Supplies,4,8/13/2017
Office Supplies,5,11-10-2016
Office Supplies,3,11-10-2016
Furniture,2,06-12-2017
Office Supplies,3,3/22/2014
Furniture,3,3/22/2014
Office Supplies,1,6/15/2017
Office Supplies,8,11/16/2017
Office Supplies,3,12/29/2017
Furniture,2,1/21/2016
Furniture,7,1/21/2016
Office Supplies,2,1/15/2016
Office Supplies,2,1/15/2016
Technology,3,1/15/2016
Office Supplies,6,9/19/2016
Office Supplies,3,9/19/2016
Office Supplies,5,2/21/2014
Furniture,4,11-11-2016
Office Supplies,2,1/30/2016
Furniture,5,10/18/2016
Office Supplies,3,12/18/2017
Office Supplies,2,12/18/2017
Office Supplies,5,12/18/2017
Office Supplies,5,11-02-2017
Furniture,2,4/29/2014
Office Supplies,3,4/29/2014
Office Supplies,2,10/23/2017
Office Supplies,5,10/23/2017
Furniture,11,10/23/2017
Technology,3,10/23/2017
Office Supplies,5,3/30/2014
Technology,4,01-04-2016
Furniture,2,4/26/2015
Technology,2,09-12-2015
Office Supplies,4,09-12-2015
Office Supplies,7,09-11-2017
Office Supplies,5,06-12-2016
Office Supplies,7,6/27/2016
Furniture,3,6/27/2016
Office Supplies,2,9/26/2014
Office Supplies,2,11-03-2017
Office Supplies,5,11-03-2017
Office Supplies,3,11-03-2017
Office Supplies,3,2/19/2017
Office Supplies,4,11-05-2015
Office Supplies,5,6/16/2014
Office Supplies,4,6/16/2014
Office Supplies,3,6/16/2014
Technology,3,10-12-2015
Office Supplies,2,10-12-2015
Technology,4,10-12-2015
Office Supplies,1,8/27/2017
Office Supplies,5,11/23/2016
Furniture,2,11/23/2016
Furniture,7,11/23/2016
Office Supplies,2,1/30/2017
Office Supplies,3,11/30/2015
Office Supplies,1,6/28/2014
Office Supplies,1,09-02-2014
Furniture,1,09-02-2014
Furniture,3,07-10-2017
Office Supplies,3,06-04-2017
Office Supplies,4,10/19/2017
Furniture,4,11/18/2017
Office Supplies,2,08-08-2015
Office Supplies,2,08-08-2015
Furniture,1,08-08-2015
Technology,1,12-06-2016
Technology,3,12-06-2016
Office Supplies,1,12-06-2016
Office Supplies,7,12-06-2016
Office Supplies,7,12-06-2016
Office Supplies,5,12-06-2016
Office Supplies,3,12-06-2016
Furniture,1,3/25/2017
Furniture,7,3/25/2017
Furniture,3,3/25/2017
Office Supplies,9,11/19/2017
Furniture,1,11/19/2017
Furniture,7,11-04-2016
Furniture,3,12/14/2017
Office Supplies,14,12/14/2017
Office Supplies,5,12/14/2017
Technology,4,11-12-2017
Office Supplies,5,11-12-2017
Furniture,2,11-12-2017
Furniture,2,11-12-2017
Technology,2,11-12-2017
Technology,2,11-12-2017
Technology,1,8/18/2016
Furniture,3,6/27/2017
Office Supplies,1,05-04-2017
Office Supplies,4,12/24/2015
Office Supplies,4,12/24/2015
Office Supplies,3,4/26/2017
Office Supplies,8,4/26/2017
Furniture,2,12/16/2017
Furniture,2,12/16/2017
Office Supplies,5,12/16/2017
Furniture,2,12/16/2017
Furniture,6,12/27/2014
Office Supplies,4,12/27/2014
Office Supplies,3,11-06-2017
Office Supplies,6,11-06-2017
Office Supplies,8,11-06-2017
Furniture,2,11-06-2017
Office Supplies,4,11-06-2017
Office Supplies,5,12/16/2017
Furniture,2,05-07-2015
Office Supplies,4,05-07-2015
Furniture,7,12-04-2017
Office Supplies,2,10-03-2017
Furniture,6,1/13/2014
Office Supplies,4,06-12-2015
Furniture,2,06-12-2015
Furniture,4,07-12-2014
Office Supplies,4,07-12-2014
Office Supplies,3,12-06-2014
Furniture,1,12-06-2014
Furniture,4,5/25/2016
Office Supplies,2,5/25/2016
Office Supplies,9,5/25/2016
Technology,1,2/21/2016
Office Supplies,4,2/21/2016
Office Supplies,5,2/21/2016
Office Supplies,7,2/21/2016
Office Supplies,3,10-02-2016
Office Supplies,4,03-11-2017
Office Supplies,4,09-09-2016
Office Supplies,5,7/14/2014
Office Supplies,4,6/21/2014
Furniture,1,6/21/2014
Technology,4,6/21/2014
Technology,3,6/21/2014
Office Supplies,2,6/21/2014
Office Supplies,2,6/21/2014
Office Supplies,5,07-05-2015
Office Supplies,4,12/16/2017
Office Supplies,1,09-08-2016
Office Supplies,3,5/17/2014
Office Supplies,5,10/13/2017
Office Supplies,3,10/24/2014
Furniture,3,12-05-2016
Office Supplies,5,7/25/2016
Office Supplies,5,4/17/2017
Technology,5,4/17/2017
Office Supplies,2,4/17/2017
Office Supplies,6,4/17/2017
Office Supplies,4,4/17/2017
Furniture,2,9/17/2015
Office Supplies,8,8/23/2016
Furniture,3,8/23/2016
Technology,7,8/23/2016
Office Supplies,3,11-08-2015
Office Supplies,3,11-08-2015
Furniture,3,11-08-2015
Office Supplies,5,11-08-2015
Furniture,2,11/17/2017
Office Supplies,11,11-08-2015
Office Supplies,3,11-08-2015
Furniture,3,4/22/2017
Office Supplies,2,8/24/2014
Furniture,5,12/17/2017
Technology,4,3/24/2016
Furniture,4,9/21/2015
Office Supplies,1,9/21/2015
Furniture,4,11/21/2016
Office Supplies,4,9/16/2017
Technology,6,06-11-2015
Office Supplies,7,06-11-2015
Office Supplies,2,06-11-2015
Office Supplies,5,06-11-2015
Furniture,2,06-11-2015
Furniture,3,10-03-2017
Furniture,5,05-05-2016
Office Supplies,2,09-11-2017
Office Supplies,2,09-11-2017
Furniture,8,09-11-2017
Technology,5,4/30/2015
Office Supplies,5,11-06-2017
Office Supplies,1,11-06-2017
Office Supplies,7,9/30/2014
Furniture,2,04-02-2017
Technology,4,04-02-2017
Furniture,2,10-06-2017
